x-axis,1,2,3
second,Volt,Volt,Volt
-90.000E-06,+3.140703484E+00,-5.025126E-03,+3.261306498E+00
-89.900E-06,+3.135678358E+00,+0.0E+00,+3.236180870E+00
-89.800E-06,+3.135678358E+00,-5.025126E-03,+3.281407000E+00
-89.700E-06,+3.135678358E+00,-10.050251E-03,+3.271356749E+00
-89.600E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-89.500E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-89.400E-06,+3.135678358E+00,-25.125628E-03,+3.291457251E+00
-89.300E-06,+3.135678358E+00,-20.100502E-03,+3.241205995E+00
-89.200E-06,+3.140703484E+00,-10.050251E-03,+3.266331623E+00
-89.100E-06,+3.160803986E+00,-10.050251E-03,+3.256281372E+00
-89.000E-06,+3.155778861E+00,-15.075377E-03,+3.281407000E+00
-88.900E-06,+3.135678358E+00,+0.0E+00,+3.251256247E+00
-88.800E-06,+3.135678358E+00,+0.0E+00,+3.236180870E+00
-88.700E-06,+3.135678358E+00,-5.025126E-03,+3.256281372E+00
-88.600E-06,+3.140703484E+00,-10.050251E-03,+3.266331623E+00
-88.500E-06,+3.135678358E+00,+0.0E+00,+3.286432126E+00
-88.400E-06,+3.140703484E+00,-5.025126E-03,+3.276381874E+00
-88.300E-06,+3.135678358E+00,-20.100502E-03,+3.246231121E+00
-88.200E-06,+3.135678358E+00,-10.050251E-03,+3.276381874E+00
-88.100E-06,+3.135678358E+00,+0.0E+00,+3.271356749E+00
-88.000E-06,+3.140703484E+00,+0.0E+00,+3.271356749E+00
-87.900E-06,+3.135678358E+00,+0.0E+00,+3.246231121E+00
-87.800E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-87.700E-06,+3.145728610E+00,-5.025126E-03,+3.291457251E+00
-87.600E-06,+3.135678358E+00,-5.025126E-03,+3.276381874E+00
-87.500E-06,+3.150753735E+00,+0.0E+00,+3.276381874E+00
-87.400E-06,+3.135678358E+00,-20.100502E-03,+3.256281372E+00
-87.300E-06,+3.135678358E+00,-5.025126E-03,+3.251256247E+00
-87.200E-06,+3.135678358E+00,-20.100502E-03,+3.281407000E+00
-87.100E-06,+3.135678358E+00,-5.025126E-03,+3.276381874E+00
-87.000E-06,+3.135678358E+00,-15.075377E-03,+3.236180870E+00
-86.900E-06,+3.135678358E+00,-15.075377E-03,+3.281407000E+00
-86.800E-06,+3.140703484E+00,-5.025126E-03,+3.286432126E+00
-86.700E-06,+3.135678358E+00,-5.025126E-03,+3.261306498E+00
-86.600E-06,+3.140703484E+00,+0.0E+00,+3.271356749E+00
-86.500E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-86.400E-06,+3.135678358E+00,+0.0E+00,+3.271356749E+00
-86.300E-06,+3.135678358E+00,-5.025126E-03,+3.276381874E+00
-86.200E-06,+3.135678358E+00,-10.050251E-03,+3.236180870E+00
-86.100E-06,+3.140703484E+00,+0.0E+00,+3.276381874E+00
-86.000E-06,+3.140703484E+00,-10.050251E-03,+3.276381874E+00
-85.900E-06,+3.145728610E+00,-5.025126E-03,+3.256281372E+00
-85.800E-06,+3.145728610E+00,+0.0E+00,+3.266331623E+00
-85.700E-06,+3.135678358E+00,+0.0E+00,+3.251256247E+00
-85.600E-06,+3.155778861E+00,+0.0E+00,+3.266331623E+00
-85.500E-06,+3.140703484E+00,-5.025126E-03,+3.246231121E+00
-85.400E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-85.300E-06,+3.135678358E+00,+0.0E+00,+3.271356749E+00
-85.200E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-85.100E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-85.000E-06,+3.135678358E+00,-25.125628E-03,+3.261306498E+00
-84.900E-06,+3.135678358E+00,+0.0E+00,+3.251256247E+00
-84.800E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-84.700E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-84.600E-06,+3.135678358E+00,+0.0E+00,+3.286432126E+00
-84.500E-06,+3.135678358E+00,+0.0E+00,+3.271356749E+00
-84.400E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-84.300E-06,+3.135678358E+00,+0.0E+00,+3.291457251E+00
-84.200E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-84.100E-06,+3.145728610E+00,+0.0E+00,+3.261306498E+00
-84.000E-06,+3.135678358E+00,-5.025126E-03,+3.286432126E+00
-83.900E-06,+3.145728610E+00,+0.0E+00,+3.256281372E+00
-83.800E-06,+3.135678358E+00,+0.0E+00,+3.291457251E+00
-83.700E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-83.600E-06,+3.140703484E+00,-20.100502E-03,+3.281407000E+00
-83.500E-06,+3.135678358E+00,-10.050251E-03,+3.256281372E+00
-83.400E-06,+3.140703484E+00,-15.075377E-03,+3.276381874E+00
-83.300E-06,+3.125628107E+00,+0.0E+00,+3.266331623E+00
-83.200E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-83.100E-06,+3.135678358E+00,+0.0E+00,+3.286432126E+00
-83.000E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-82.900E-06,+3.150753735E+00,+0.0E+00,+3.266331623E+00
-82.800E-06,+3.140703484E+00,+0.0E+00,+3.271356749E+00
-82.700E-06,+3.135678358E+00,-15.075377E-03,+3.271356749E+00
-82.600E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-82.500E-06,+3.135678358E+00,-15.075377E-03,+3.291457251E+00
-82.400E-06,+3.135678358E+00,-10.050251E-03,+3.251256247E+00
-82.300E-06,+3.135678358E+00,+0.0E+00,+3.291457251E+00
-82.200E-06,+3.135678358E+00,+0.0E+00,+3.251256247E+00
-82.100E-06,+3.135678358E+00,-5.025126E-03,+3.276381874E+00
-82.000E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-81.900E-06,+3.135678358E+00,+0.0E+00,+3.246231121E+00
-81.800E-06,+3.135678358E+00,+0.0E+00,+3.286432126E+00
-81.700E-06,+3.140703484E+00,-25.125628E-03,+3.256281372E+00
-81.600E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-81.500E-06,+3.150753735E+00,-15.075377E-03,+3.276381874E+00
-81.400E-06,+3.135678358E+00,+0.0E+00,+3.251256247E+00
-81.300E-06,+3.135678358E+00,-10.050251E-03,+3.276381874E+00
-81.200E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-81.100E-06,+3.135678358E+00,-10.050251E-03,+3.251256247E+00
-81.000E-06,+3.140703484E+00,+0.0E+00,+3.251256247E+00
-80.900E-06,+3.145728610E+00,+0.0E+00,+3.281407000E+00
-80.800E-06,+3.135678358E+00,-15.075377E-03,+3.266331623E+00
-80.700E-06,+3.135678358E+00,-5.025126E-03,+3.276381874E+00
-80.600E-06,+3.135678358E+00,-15.075377E-03,+3.251256247E+00
-80.500E-06,+3.135678358E+00,-10.050251E-03,+3.246231121E+00
-80.400E-06,+3.140703484E+00,+0.0E+00,+3.261306498E+00
-80.300E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-80.200E-06,+3.135678358E+00,+0.0E+00,+3.271356749E+00
-80.100E-06,+3.135678358E+00,+0.0E+00,+3.286432126E+00
-80.000E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-79.900E-06,+3.135678358E+00,+0.0E+00,+3.246231121E+00
-79.800E-06,+3.135678358E+00,+0.0E+00,+3.246231121E+00
-79.700E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-79.600E-06,+3.135678358E+00,+0.0E+00,+3.251256247E+00
-79.500E-06,+3.135678358E+00,-15.075377E-03,+3.266331623E+00
-79.400E-06,+3.135678358E+00,-10.050251E-03,+3.281407000E+00
-79.300E-06,+3.140703484E+00,-10.050251E-03,+3.251256247E+00
-79.200E-06,+3.135678358E+00,+0.0E+00,+3.251256247E+00
-79.100E-06,+3.140703484E+00,-5.025126E-03,+3.286432126E+00
-79.000E-06,+3.135678358E+00,+0.0E+00,+3.271356749E+00
-78.900E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-78.800E-06,+3.130653233E+00,+0.0E+00,+3.276381874E+00
-78.700E-06,+3.145728610E+00,+0.0E+00,+3.261306498E+00
-78.600E-06,+3.145728610E+00,+0.0E+00,+3.241205995E+00
-78.500E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-78.400E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-78.300E-06,+3.140703484E+00,-25.125628E-03,+3.251256247E+00
-78.200E-06,+3.150753735E+00,+0.0E+00,+3.286432126E+00
-78.100E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-78.000E-06,+3.145728610E+00,-15.075377E-03,+3.276381874E+00
-77.900E-06,+3.135678358E+00,-5.025126E-03,+3.246231121E+00
-77.800E-06,+3.135678358E+00,-10.050251E-03,+3.246231121E+00
-77.700E-06,+3.135678358E+00,-5.025126E-03,+3.281407000E+00
-77.600E-06,+3.135678358E+00,+0.0E+00,+3.246231121E+00
-77.500E-06,+3.160803986E+00,-15.075377E-03,+3.266331623E+00
-77.400E-06,+3.135678358E+00,-15.075377E-03,+3.271356749E+00
-77.300E-06,+3.140703484E+00,-5.025126E-03,+3.266331623E+00
-77.200E-06,+3.145728610E+00,+0.0E+00,+3.256281372E+00
-77.100E-06,+3.140703484E+00,-20.100502E-03,+3.241205995E+00
-77.000E-06,+3.140703484E+00,-15.075377E-03,+3.241205995E+00
-76.900E-06,+3.145728610E+00,+0.0E+00,+3.251256247E+00
-76.800E-06,+3.135678358E+00,+0.0E+00,+3.246231121E+00
-76.700E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-76.600E-06,+3.135678358E+00,-10.050251E-03,+3.286432126E+00
-76.500E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-76.400E-06,+3.135678358E+00,+0.0E+00,+3.246231121E+00
-76.300E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-76.200E-06,+3.140703484E+00,+0.0E+00,+3.251256247E+00
-76.100E-06,+3.170854237E+00,-5.025126E-03,+3.271356749E+00
-76.000E-06,+3.135678358E+00,-15.075377E-03,+3.271356749E+00
-75.900E-06,+3.140703484E+00,+0.0E+00,+3.276381874E+00
-75.800E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-75.700E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-75.600E-06,+3.135678358E+00,-25.125628E-03,+3.266331623E+00
-75.500E-06,+3.135678358E+00,-10.050251E-03,+3.261306498E+00
-75.400E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-75.300E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-75.200E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-75.100E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-75.000E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-74.900E-06,+3.140703484E+00,+0.0E+00,+3.246231121E+00
-74.800E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-74.700E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-74.600E-06,+3.140703484E+00,+0.0E+00,+3.271356749E+00
-74.500E-06,+3.140703484E+00,+0.0E+00,+3.256281372E+00
-74.400E-06,+3.145728610E+00,-10.050251E-03,+3.266331623E+00
-74.300E-06,+3.135678358E+00,-5.025126E-03,+3.271356749E+00
-74.200E-06,+3.135678358E+00,-5.025126E-03,+3.281407000E+00
-74.100E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-74.000E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-73.900E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-73.800E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-73.700E-06,+3.135678358E+00,-15.075377E-03,+3.276381874E+00
-73.600E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-73.500E-06,+3.135678358E+00,-5.025126E-03,+3.261306498E+00
-73.400E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-73.300E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-73.200E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-73.100E-06,+3.130653233E+00,+0.0E+00,+3.276381874E+00
-73.000E-06,+3.135678358E+00,+0.0E+00,+3.251256247E+00
-72.900E-06,+3.145728610E+00,+0.0E+00,+3.276381874E+00
-72.800E-06,+3.135678358E+00,-5.025126E-03,+3.236180870E+00
-72.700E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
